h min seg;ACC ACCX ACCY ACCZ m/s^2;GGY GGYX GGYY GGYZ rad/s;DIS D6 D7 [mm];Colision D6(Bool) D7(Bool);Temperatura Ambiental CPU_MR [ºC]
0 0 3;0 0 -10;0 0 0;119 255;1 0;23 46.15
0 0 3;0 0 -10;0 0 0;119 255;1 0;23 46.3
0 0 5;0 0 -10;0 0 0;120 255;1 0;23 46.7
0 0 5;0 0 -10;0 0 0;120 255;1 0;23 46.85
0 0 5;0 0 -10;0 0 0;120 255;1 0;23 46.5
0 0 7;0 0 -10;0 0 0;118 255;1 0;23 46.65
0 0 7;0 0 -10;0 0 0;118 255;1 0;23 46.6
0 0 7;0 0 -10;0 0 0;118 255;1 0;23 46.9
0 0 7;0 0 -10;0 0 0;118 255;1 0;23 47.1
0 0 9;0 0 -10;0 0 0;118 255;1 0;23 47.05
0 0 9;0 0 -10;0 0 0;118 255;1 0;23 46.9
0 0 9;0 0 -10;0 0 0;118 255;1 0;23 47.45
0 0 9;0 0 -10;0 0 0;118 255;1 0;23 47.2
0 0 11;0 0 -10;0 0 0;115 255;1 0;23 48.15
0 0 11;0 0 -10;0 0 0;115 255;1 0;23 48.29
0 0 11;0 0 -10;0 0 0;115 255;1 0;23 48.0
0 0 11;0 0 -10;0 0 0;115 255;1 0;23 48.2
0 0 13;0 0 -10;0 0 0;121 255;1 0;23 48.0
0 0 13;0 0 -10;0 0 0;121 255;1 0;23 48.15
0 0 13;0 0 -10;0 0 0;121 255;1 0;23 47.85
0 0 13;0 0 -10;0 0 0;121 255;1 0;23 47.9
0 0 15;0 0 -10;0 0 0;115 255;1 0;23 47.95
0 0 15;0 0 -10;0 0 0;115 255;1 0;23 47.9
0 0 15;0 0 -10;0 0 0;115 255;1 0;23 47.65
0 0 15;0 0 -10;0 0 0;115 255;1 0;23 48.62
0 0 17;0 0 -10;0 0 0;120 255;1 0;23 48.62
0 0 17;0 0 -10;0 0 0;120 255;1 0;23 48.61
0 0 17;0 0 -10;0 0 0;120 255;1 0;23 48.63
0 0 17;0 0 -10;0 0 0;120 255;1 0;23 48.91
0 0 17;0 0 -10;0 0 0;120 255;1 0;23 48.75
0 0 19;0 0 -10;0 0 0;119 255;1 0;23 48.76
0 0 19;0 0 -10;0 0 0;119 255;1 0;23 48.87
0 0 19;0 0 -10;0 0 0;119 255;1 0;23 48.95
0 0 19;0 0 -10;0 0 0;119 255;1 0;23 49.17
0 0 21;0 0 -10;0 0 0;120 255;1 0;23 49.21
0 0 21;0 0 -10;0 0 0;120 255;1 0;23 49.0
0 0 21;0 0 -10;0 0 0;120 255;1 0;23 48.95
0 0 21;0 0 -10;0 0 0;120 255;1 0;23 48.77
0 0 23;0 0 -10;0 0 0;190 255;0 0;23 49.37
0 0 23;0 0 -10;0 0 0;190 255;0 0;23 49.23
0 0 23;0 0 -10;0 0 0;190 255;0 0;23 49.21
0 0 23;0 0 -10;0 0 0;190 255;0 0;23 49.26
0 0 23;0 0 -10;0 0 0;190 255;0 0;23 49.31
0 0 25;0 0 -10;0 0 0;255 255;0 0;23 49.56
0 0 25;0 0 -10;0 0 0;255 255;0 0;23 49.06
0 0 25;0 0 -10;0 0 0;255 255;0 0;23 49.75
0 0 25;0 0 -10;0 0 0;255 255;0 0;23 49.58
0 0 27;0 0 -10;0 0 0;255 255;0 0;23 49.43
0 0 27;0 0 -10;0 0 0;255 255;0 0;23 49.72
0 0 27;0 0 -10;0 0 0;255 255;0 0;23 49.65
0 0 27;0 0 -10;0 0 0;255 255;0 0;23 49.95
0 0 29;0 0 -10;0 0 0;255 255;0 0;23 49.41
0 0 29;0 0 -10;0 0 0;255 255;0 0;23 49.7
0 0 29;0 0 -10;0 0 0;255 255;0 0;23 50.3
0 0 29;0 0 -10;0 0 0;255 255;0 0;23 50.0
0 0 31;0 0 -10;0 0 0;255 255;0 0;23 48.99
0 0 31;0 0 -10;0 0 0;255 255;0 0;23 49.22
0 0 31;0 0 -10;0 0 0;255 255;0 0;23 49.56
0 0 31;0 0 -10;0 0 0;255 255;0 0;23 49.55
0 0 33;0 0 -10;0 0 0;255 255;0 0;23 49.71
0 0 33;0 0 -10;0 0 0;255 255;0 0;23 49.56
0 0 33;0 0 -10;0 0 0;255 255;0 0;23 49.7
0 0 33;0 0 -10;0 0 0;255 255;0 0;23 49.66
0 0 33;0 0 -10;0 0 0;255 255;0 0;23 50.1
0 0 35;0 0 -10;0 0 0;255 255;0 0;23 49.81
0 0 35;0 0 -10;0 0 0;255 255;0 0;23 49.85
0 0 35;0 0 -10;0 0 0;255 255;0 0;23 50.15
0 0 35;0 0 -10;0 0 0;255 255;0 0;23 49.8
0 0 35;0 0 -10;0 0 0;255 255;0 0;23 49.75
0 0 37;0 0 -10;0 0 0;255 255;0 0;23 49.65
0 0 37;0 0 -10;0 0 0;255 255;0 0;23 49.76
0 0 37;0 0 -10;0 0 0;255 255;0 0;23 50.0
0 0 37;0 0 -10;0 0 0;255 255;0 0;23 50.2
0 0 39;0 0 -10;0 0 0;255 255;0 0;23 49.6
0 0 39;0 0 -10;0 0 0;255 255;0 0;23 50.4
0 0 39;0 0 -10;0 0 0;255 255;0 0;23 50.15
0 0 39;0 0 -10;0 0 0;255 255;0 0;23 49.95
0 0 41;0 0 -10;0 0 0;255 255;0 0;23 50.05
0 0 41;0 0 -10;0 0 0;255 255;0 0;23 50.35
0 0 41;0 0 -10;0 0 0;255 255;0 0;23 50.5
0 0 41;0 0 -10;0 0 0;255 255;0 0;23 50.26
0 0 41;0 0 -10;0 0 0;255 255;0 0;23 50.7
0 0 43;0 0 -10;0 0 0;255 255;0 0;23 50.9
0 0 43;0 0 -10;0 0 0;255 255;0 0;23 50.35
0 0 43;0 0 -10;0 0 0;255 255;0 0;23 50.65
0 0 45;0 0 -10;0 0 0;255 255;0 0;23 50.65
0 0 45;0 0 -10;0 0 0;255 255;0 0;23 51.3
0 0 45;0 0 -10;0 0 0;255 255;0 0;23 51.15
0 0 45;0 0 -10;0 0 0;255 255;0 0;23 51.45
0 0 47;0 0 -10;0 0 0;255 255;0 0;23 51.43
0 0 47;0 0 -10;0 0 0;255 255;0 0;23 51.54
0 0 47;0 0 -10;0 0 0;255 255;0 0;23 51.44
0 0 47;0 0 -10;0 0 0;255 255;0 0;23 51.54
0 0 47;0 0 -10;0 0 0;255 255;0 0;23 51.4
0 0 49;0 0 -10;0 0 0;255 255;0 0;23 51.45
0 0 49;0 0 -10;0 0 0;255 255;0 0;23 51.05
0 0 49;0 0 -10;0 0 0;255 255;0 0;23 51.8
0 0 51;0 0 -10;0 0 0;255 255;0 0;23 51.7
0 0 51;0 0 -10;0 0 0;255 255;0 0;23 51.29
0 0 51;0 0 -10;0 0 0;255 255;0 0;23 51.89
0 0 51;0 0 -10;0 0 0;255 255;0 0;23 51.83
0 0 54;0 0 -10;0 0 0;255 255;0 0;23 51.55
0 0 54;0 0 -10;0 0 0;255 255;0 0;23 51.97
0 0 54;0 0 -10;0 0 0;255 255;0 0;23 51.7
0 0 56;0 0 -10;0 0 0;255 255;0 0;22 51.84
0 0 56;0 0 -10;0 0 0;255 255;0 0;22 52.25
0 0 56;0 0 -10;0 0 0;255 255;0 0;22 52.53
0 0 56;0 0 -10;0 0 0;255 255;0 0;22 52.5
0 0 56;0 0 -10;0 0 0;255 255;0 0;22 52.43
0 0 58;0 0 -10;0 0 0;255 255;0 0;23 52.81
0 0 58;0 0 -10;0 0 0;255 255;0 0;23 52.17
0 0 58;0 0 -10;0 0 0;255 255;0 0;23 52.54
0 0 58;0 0 -10;0 0 0;255 255;0 0;23 52.57
0 1 0;0 0 -10;0 0 0;255 255;0 0;23 52.67
0 1 0;0 0 -10;0 0 0;255 255;0 0;23 52.3
0 1 0;0 0 -10;0 0 0;255 255;0 0;23 51.85
0 1 0;0 0 -10;0 0 0;255 255;0 0;23 52.48
0 1 2;0 0 -10;0 0 0;255 255;0 0;23 52.07
0 1 2;0 0 -10;0 0 0;255 255;0 0;23 52.16
0 1 2;0 0 -10;0 0 0;255 255;0 0;23 52.14
0 1 2;0 0 -10;0 0 0;255 255;0 0;23 52.3
0 1 4;0 0 -10;0 0 0;255 255;0 0;23 52.25
0 1 4;0 0 -10;0 0 0;255 255;0 0;23 52.19
0 1 4;0 0 -10;0 0 0;255 255;0 0;23 52.58
0 1 4;0 0 -10;0 0 0;255 255;0 0;23 52.97
0 1 4;0 0 -10;0 0 0;255 255;0 0;23 52.75
0 1 6;0 0 -10;0 0 0;255 255;0 0;23 53.1
0 1 6;0 0 -10;0 0 0;255 255;0 0;23 53.2
0 1 8;0 0 -10;0 0 0;255 255;0 0;23 52.82
0 1 8;0 0 -10;0 0 0;255 255;0 0;23 53.45
0 1 8;0 0 -10;0 0 0;255 255;0 0;23 52.86
0 1 8;0 0 -10;0 0 0;255 255;0 0;23 52.8
0 1 8;0 0 -10;0 0 0;255 255;0 0;23 52.76
0 1 10;0 0 -10;0 0 0;255 255;0 0;23 52.66
0 1 10;0 0 -10;0 0 0;255 255;0 0;23 52.91
0 1 10;0 0 -10;0 0 0;255 255;0 0;23 52.67
0 1 12;0 0 -10;0 0 0;255 255;0 0;23 52.76
0 1 12;0 0 -10;0 0 0;255 255;0 0;23 52.82
0 1 12;0 0 -10;0 0 0;255 255;0 0;23 52.66
0 1 12;0 0 -10;0 0 0;255 255;0 0;23 52.91
0 1 14;0 0 -10;0 0 0;255 255;0 0;23 52.96
0 1 14;0 0 -10;0 0 0;255 255;0 0;23 53.35
0 1 14;0 0 -10;0 0 0;255 255;0 0;23 53.25
0 1 14;0 0 -10;0 0 0;255 255;0 0;23 53.55
0 1 14;0 0 -10;0 0 0;255 255;0 0;23 53.3
0 1 16;0 0 -10;0 0 0;255 255;0 0;23 53.15
0 1 16;0 0 -10;0 0 0;255 255;0 0;23 53.75
0 1 16;0 0 -10;0 0 0;255 255;0 0;23 53.3
0 1 16;0 0 -10;0 0 0;255 255;0 0;23 54.05
0 1 16;0 0 -10;0 0 0;255 255;0 0;23 53.45
0 1 18;0 0 -10;0 0 0;255 37;0 1;23 53.1
0 1 18;0 0 -10;0 0 0;255 37;0 1;23 53.3
0 1 18;0 0 -10;0 0 0;255 37;0 1;23 53.4
0 1 18;0 0 -10;0 0 0;255 37;0 1;23 53.45
0 1 20;0 0 -10;0 0 0;255 34;0 1;23 53.5
0 1 20;0 0 -10;0 0 0;255 34;0 1;23 53.8
0 1 20;0 0 -10;0 0 0;255 34;0 1;23 53.5
0 1 20;0 0 -10;0 0 0;255 34;0 1;23 53.7
0 1 22;0 0 -10;0 0 0;255 33;0 1;23 53.45
0 1 22;0 0 -10;0 0 0;255 33;0 1;23 53.6
0 1 22;0 0 -10;0 0 0;255 33;0 1;23 53.7
0 1 22;0 0 -10;0 0 0;255 33;0 1;23 53.95
0 1 24;0 0 -10;0 0 0;255 32;0 1;23 53.75
0 1 24;0 0 -10;0 0 0;255 32;0 1;23 53.65
0 1 24;0 0 -10;0 0 0;255 32;0 1;23 53.6
0 1 26;0 0 -10;0 0 0;255 51;0 1;23 53.85
0 1 26;0 0 -10;0 0 0;255 51;0 1;23 54.05
0 1 28;0 0 -10;0 0 0;255 61;0 1;23 54.15
0 1 28;0 0 -10;0 0 0;255 61;0 1;23 54.55
0 1 28;0 0 -10;0 0 0;255 61;0 1;23 54.1
